id,cliente_id,vehiculo_id,fecha,total,descuento,estado,detalles
70,30,52,2023-04-24,4897.61,0,Pagada,32:1:573.44;39:3:2456.1;35:3:1868.07
71,19,36,2023-01-02,5049.63,0,Pagada,16:2:3450.68;37:1:1598.95
72,24,42,2024-06-22,5075.78,0,Pagada,33:1:1532.42;36:2:3543.36
73,25,43,2023-09-17,5658.99,0,Pagada,23:2:3484.64;5:1:2174.35
74,50,88,2023-05-17,1245.38,0,Pagada,35:2:1245.38
75,50,88,2024-12-13,2523.98,0,Pagada,12:1:510.14;9:3:2013.84
76,19,36,2023-02-14,31148.63,0,Pagada,3:3:1849.5;21:2:1493.66;20:3:27805.47
77,42,74,2023-10-20,4979.97,0,Pagada,4:3:4979.97
78,24,42,2024-02-14,5152.8,0,Pagada,25:1:833.98;22:2:4318.82
79,34,58,2023-03-26,23683.56,0,Pagada,6:3:14227.41;28:1:9456.15
80,6,12,2024-11-07,1609.89,0,Pagada,29:3:1609.89
81,29,51,2024-04-02,5226.96,0,Pagada,23:3:5226.96
82,4,5,2024-11-18,7184.64,22.44,Pendiente,24:3:2609.82;33:3:4597.26
83,44,78,2023-02-05,5176.02,0,Pagada,16:3:5176.02
84,37,63,2024-09-11,1073.26,0,Pendiente,29:2:1073.26
85,37,63,2024-06-26,2240.49,0,Cancelada,21:3:2240.49
86,2,2,2024-05-26,19897.0,0,Pagada,36:2:3543.36;8:2:16353.64
87,40,71,2024-12-11,12184.22,0,Pagada,32:1:573.44;13:2:1420.12;8:1:8176.82;9:3:2013.84
88,44,78,2024-11-14,6523.05,0,Pendiente,5:3:6523.05
89,11,19,2024-01-06,8886.88,0,Pagada,8:1:8176.82;13:1:710.06
90,36,62,2024-04-23,3971.46,0,Pagada,36:1:1771.68;9:1:671.28;40:2:1528.5
91,31,53,2025-02-26,5947.65,0,Pagada,37:1:1598.95;5:2:4348.7
92,44,78,2023-05-12,4965.74,0,Pagada,36:1:1771.68;38:2:1663.64;12:3:1530.42
93,8,14,2023-11-08,2240.49,0,Cancelada,21:3:2240.49
94,34,58,2023-03-22,3436.06,107.3,Pagada,36:2:3543.36
95,33,56,2024-08-29,24903.33,2609.74,Pendiente,10:2:6350.44;11:3:19579.68;40:1:764.25;39:1:818.7
96,17,34,2023-08-04,13390.7,0,Cancelada,27:2:5964.5;40:3:2292.75;2:3:5133.45
97,31,53,2024-12-02,3264.67,141.57,Pagada,30:3:1231.89;5:1:2174.35
98,22,39,2023-11-17,13659.42,0,Pagada,21:1:746.83;23:2:3484.64;26:3:9427.95
99,30,52,2023-10-01,17822.54,0,Pendiente,10:1:3175.22;7:2:14647.32
100,27,46,2023-06-13,5222.79,0,Pendiente,37:1:1598.95;21:2:1493.66;13:3:2130.18
101,32,54,2023-04-03,9009.09,0,Pagada,33:3:4597.26;30:2:821.26;16:1:1725.34;14:1:1865.23
102,42,76,2024-04-26,368.97,0,Pendiente,1:1:368.97
103,47,82,2025-02-21,10044.45,0,Pagada,3:1:616.5;26:3:9427.95
104,19,36,2024-01-31,20318.67,0,Pagada,36:3:5315.04;18:3:15003.63
105,7,13,2024-01-18,6540.91,0,Pagada,22:1:2159.41;36:1:1771.68;24:3:2609.82
106,3,3,2023-05-21,3056.83,0,Pagada,31:2:1403.42;34:1:1653.41
107,21,38,2023-06-16,2292.75,0,Pagada,40:3:2292.75
108,33,56,2024-12-26,4825.72,0,Cancelada,31:2:1403.42;2:2:3422.3
109,38,65,2025-01-12,7983.53,0,Pagada,2:2:3422.3;39:3:2456.1;31:3:2105.13
110,38,65,2023-06-24,3266.19,0,Pagada,40:1:764.25;25:3:2501.94
111,45,79,2023-07-15,1390.52,103.14,Pagada,21:2:1493.66
112,50,88,2025-01-23,5631.51,0,Pagada,9:1:671.28;34:3:4960.23
113,34,58,2023-11-18,14805.15,0,Pagada,30:3:1231.89;35:3:1868.07;22:3:6478.23;23:3:5226.96
114,31,53,2023-09-10,9268.49,0,Cancelada,20:1:9268.49
115,50,88,2024-12-22,1146.88,0,Pagada,32:2:1146.88
116,47,82,2023-10-22,1245.38,0,Pagada,35:2:1245.38
117,23,40,2023-10-25,9484.94,0,Pagada,6:2:9484.94
118,48,85,2023-08-08,1245.38,0,Pagada,35:2:1245.38
119,9,15,2024-09-22,10155.99,0,Pagada,16:3:5176.02;4:3:4979.97
120,7,13,2023-12-05,9337.5,0,Pagada,7:1:7323.66;9:3:2013.84
121,42,75,2024-05-03,2960.07,246.5,Pagada,19:2:966.08;21:3:2240.49
122,15,29,2025-01-26,1743.14,0,Pagada,3:2:1233.0;12:1:510.14
123,26,45,2023-07-10,22204.57,0,Cancelada,19:3:1449.12;3:3:1849.5;1:1:368.97;20:2:18536.98
124,35,60,2023-05-18,11123.11,0,Pagada,30:1:410.63;18:2:10002.42;13:1:710.06
125,46,80,2023-01-15,2787.11,260.96,Pendiente,19:3:1449.12;37:1:1598.95
126,28,49,2023-03-30,8343.94,0,Pagada,7:1:7323.66;12:2:1020.28
127,17,33,2023-08-30,16480.65,0,Pagada,18:2:10002.42;22:3:6478.23
128,42,75,2024-12-10,16353.64,0,Pagada,8:2:16353.64
129,33,56,2024-12-07,966.08,0,Pagada,19:2:966.08
130,9,16,2023-06-06,4247.22,0,Pagada,39:2:1637.4;24:3:2609.82
131,35,59,2025-02-19,818.7,0,Pagada,39:1:818.7
132,24,42,2024-07-31,5315.04,0,Pagada,36:3:5315.04
133,11,20,2024-06-16,4562.28,0,Pagada,14:2:3730.46;38:1:831.82
134,4,6,2023-05-16,5207.48,0,Pendiente,30:1:410.63;37:3:4796.85
135,47,81,2024-02-10,1106.91,0,Pagada,1:3:1106.91
136,28,49,2024-12-18,1659.99,0,Pagada,4:1:1659.99
137,19,36,2023-07-04,8468.71,903.63,Pendiente,27:2:5964.5;24:2:1739.88;25:2:1667.96
138,9,17,2023-12-23,1245.38,0,Pagada,35:2:1245.38
139,15,27,2025-02-13,18536.98,0,Pagada,20:2:18536.98
140,35,60,2023-08-24,1742.32,0,Cancelada,23:1:1742.32
141,47,81,2023-02-02,5439.33,18.32,Pagada,27:1:2982.25;40:1:764.25;2:1:1711.15
142,46,80,2023-09-08,4752.54,0,Pendiente,26:1:3142.65;29:3:1609.89
143,4,5,2024-05-30,7256.16,0,Cancelada,15:3:1674.03;37:2:3197.9;21:1:746.83;39:2:1637.4
144,34,57,2024-02-28,4979.97,0,Pendiente,4:3:4979.97
145,12,21,2024-07-23,6894.92,0,Pagada,23:3:5226.96;25:2:1667.96
146,20,37,2023-07-08,7137.45,0,Cancelada,31:2:1403.42;16:3:5176.02;15:1:558.01
147,36,62,2024-03-02,2339.24,0,Pagada,9:1:671.28;25:2:1667.96
148,29,51,2023-04-05,4740.1,0,Pagada,13:2:1420.12;4:2:3319.98
149,5,8,2025-02-18,5408.59,0,Pagada,36:2:3543.36;14:1:1865.23
150,1,1,2023-07-14,29501.55,0,Pendiente,8:3:24530.46;31:1:701.71;16:2:3450.68;39:1:818.7
151,25,43,2024-06-30,20165.5,0,Pagada,20:2:18536.98;17:3:1628.52
152,47,82,2025-02-18,6840.89,0,Pagada,14:2:3730.46;24:1:869.94;21:3:2240.49
153,2,2,2024-07-20,13629.8,0,Pagada,38:1:831.82;27:2:5964.5;19:1:483.04;10:2:6350.44
154,36,62,2023-09-21,8572.52,495.62,Pagada,32:3:1720.32;30:2:821.26;11:1:6526.56
155,35,59,2024-06-20,6518.89,4.16,Pagada,5:3:6523.05
156,41,72,2023-03-11,4837.37,0,Pagada,1:3:1106.91;14:2:3730.46
157,43,77,2024-11-06,2227.76,124.53,Pagada,1:3:1106.91;35:2:1245.38
158,19,36,2024-05-29,18310.23,0,Pagada,28:1:9456.15;12:3:1530.42;7:1:7323.66
159,17,33,2023-10-01,15237.41,0,Pagada,6:2:9484.94;24:3:2609.82;26:1:3142.65
160,44,78,2024-10-31,22579.69,0,Pagada,3:2:1233.0;6:3:14227.41;26:2:6285.3;25:1:833.98
161,6,12,2024-03-20,6956.26,0,Pagada,22:1:2159.41;37:3:4796.85
162,45,79,2023-10-05,6523.05,0,Pendiente,5:3:6523.05
163,37,63,2023-07-03,10442.56,0,Pagada,21:1:746.83;2:3:5133.45;14:2:3730.46;38:1:831.82
164,37,63,2024-11-24,9651.45,0,Cancelada,22:3:6478.23;25:3:2501.94;9:1:671.28
165,4,5,2024-03-23,4348.7,0,Pagada,5:2:4348.7
166,39,68,2025-03-03,10002.42,0,Pagada,18:2:10002.42
167,25,43,2023-07-10,11986.88,0,Pagada,25:3:2501.94;6:2:9484.94
168,6,12,2023-06-07,9525.66,0,Pagada,10:3:9525.66
169,6,11,2023-11-12,11771.68,553.19,Pagada,18:1:5001.21;7:1:7323.66
170,27,46,2023-01-27,1771.68,0,Pendiente,36:1:1771.68
171,25,43,2023-10-26,10057.51,0,Pagada,6:1:4742.47;36:3:5315.04
172,11,19,2023-10-03,548.51,24.93,Pagada,32:1:573.44
173,31,53,2024-01-05,5176.02,0,Pagada,16:3:5176.02
174,13,23,2023-04-20,737.94,0,Pagada,1:2:737.94
175,22,39,2023-12-09,2979.96,0,Pagada,39:2:1637.4;9:2:1342.56
176,31,53,2023-07-01,6057.69,0,Pagada,21:1:746.83;19:2:966.08;32:2:1146.88;37:2:3197.9
177,8,14,2024-08-29,7545.66,0,Pagada,12:3:1530.42;36:1:1771.68;2:2:3422.3;30:2:821.26
178,27,47,2023-05-23,5718.86,0,Pendiente,16:3:5176.02;17:1:542.84
179,5,9,2024-09-04,11296.02,0,Pagada,26:3:9427.95;35:3:1868.07
180,24,42,2023-04-22,23614.75,0,Pagada,23:1:1742.32;11:3:19579.68;40:3:2292.75
181,49,87,2024-03-16,14647.32,0,Pagada,7:2:14647.32
182,36,61,2024-04-01,1231.89,0,Pagada,30:3:1231.89
183,23,40,2024-05-09,2701.72,280.53,Pagada,27:1:2982.25
184,20,37,2024-04-11,7493.17,0,Pagada,34:2:3306.82;31:1:701.71;23:2:3484.64
185,5,9,2023-02-15,32719.84,0,Cancelada,8:3:24530.46;2:1:1711.15;22:3:6478.23
186,48,84,2024-06-12,13053.12,0,Cancelada,11:2:13053.12
187,15,28,2024-10-06,17750.88,1161.42,Pagada,28:2:18912.3
188,38,65,2024-02-03,1865.23,0,Pagada,14:1:1865.23
189,5,10,2023-04-15,3260.96,234.44,Pagada,35:2:1245.38;12:1:510.14;24:2:1739.88
190,41,73,2024-09-03,9096.1,331.85,Pagada,26:3:9427.95
191,12,21,2024-09-21,1418.11,0,Pagada,9:1:671.28;21:1:746.83
192,45,79,2024-06-07,818.7,0,Pagada,39:1:818.7
193,32,54,2024-07-22,442.37,40.67,Pagada,19:1:483.04
194,23,40,2024-05-11,2501.94,0,Pagada,25:3:2501.94
195,44,78,2024-03-01,1110.07,0,Pendiente,29:1:536.63;32:1:573.44
196,15,28,2023-02-03,1188.43,56.95,Pagada,35:2:1245.38
197,50,88,2024-07-16,27728.36,0,Pagada,37:2:3197.9;8:3:24530.46
198,49,87,2025-02-17,3110.61,0,Pagada,35:2:1245.38;14:1:1865.23
199,16,31,2023-02-03,8227.11,0,Pagada,23:2:3484.64;6:1:4742.47
200,48,86,2024-12-06,2292.75,0,Pagada,40:3:2292.75
201,14,24,2023-03-02,15219.96,1651.74,Pagada,35:3:1868.07;18:3:15003.63
202,37,63,2024-06-10,24623.38,0,Pagada,7:2:14647.32;9:3:2013.84;27:1:2982.25;4:3:4979.97
203,46,80,2023-09-11,17498.71,0,Pagada,26:3:9427.95;32:3:1720.32;10:2:6350.44
204,5,10,2025-02-26,4597.26,0,Cancelada,33:3:4597.26
205,24,42,2024-05-14,999.3,107.61,Pagada,1:3:1106.91
206,45,79,2023-03-06,25785.41,0,Pagada,26:1:3142.65;14:2:3730.46;28:2:18912.3
207,36,61,2024-08-02,7594.22,778.16,Pagada,22:1:2159.41;4:3:4979.97;3:2:1233.0
208,30,52,2024-03-14,2013.84,0,Pendiente,9:3:2013.84
209,18,35,2024-11-01,9484.94,0,Pagada,6:2:9484.94
210,4,6,2024-10-02,1116.02,0,Pagada,15:2:1116.02
211,1,1,2024-05-03,831.82,0,Pagada,38:1:831.82
212,1,1,2023-05-04,18023.47,0,Pagada,28:1:9456.15;9:2:1342.56;31:1:701.71;5:3:6523.05
213,24,42,2023-05-21,2013.84,0,Pagada,9:3:2013.84
214,34,57,2024-09-16,3352.21,0,Pagada,29:3:1609.89;23:1:1742.32
215,27,47,2023-08-11,7323.66,0,Pagada,7:1:7323.66
216,25,43,2024-03-15,671.28,0,Pagada,9:1:671.28
217,36,62,2025-03-08,39764.38,0,Pagada,2:3:5133.45;20:3:27805.47;14:1:1865.23;34:3:4960.23
218,16,31,2024-01-31,1720.32,0,Pagada,32:3:1720.32
219,1,1,2023-11-21,3197.9,0,Pagada,37:2:3197.9
220,49,87,2025-02-27,813.87,17.95,Cancelada,38:1:831.82
221,26,45,2024-10-05,26364.23,1494.82,Pagada,27:3:8946.75;28:2:18912.3
222,18,35,2023-11-14,1865.23,0,Pagada,14:1:1865.23
223,41,72,2023-11-14,3385.33,0,Pagada,16:1:1725.34;4:1:1659.99
224,40,70,2023-11-13,25012.18,28.42,Pagada,12:1:510.14;8:3:24530.46
225,23,41,2023-06-20,15003.63,0,Pendiente,18:3:15003.63
226,2,2,2024-03-15,4348.7,0,Pagada,5:2:4348.7
227,5,9,2024-04-11,5553.41,0,Pagada,4:3:4979.97;32:1:573.44
228,7,13,2023-08-22,949.6,35.87,Cancelada,1:1:368.97;3:1:616.5
229,12,21,2024-07-20,6338.76,0,Pendiente,27:1:2982.25;15:2:1116.02;21:3:2240.49
230,37,63,2023-05-03,3190.41,0,Cancelada,4:1:1659.99;12:3:1530.42
231,5,9,2023-10-17,34041.6,0,Pagada,20:3:27805.47;21:2:1493.66;6:1:4742.47
232,20,37,2024-04-20,573.44,0,Pagada,32:1:573.44
233,16,30,2023-01-07,10197.38,717.43,Pendiente,2:3:5133.45;15:3:1674.03;35:1:622.69;23:2:3484.64
234,47,82,2023-04-17,3450.68,0,Pagada,16:2:3450.68
235,10,18,2023-04-06,1674.03,0,Pendiente,15:3:1674.03
236,30,52,2024-08-17,2013.84,0,Pagada,9:3:2013.84
237,37,63,2024-03-21,4793.24,0,Cancelada,9:2:1342.56;16:2:3450.68
238,26,45,2023-11-22,2732.36,0,Pagada,15:1:558.01;5:1:2174.35
239,10,18,2023-06-18,9693.58,0,Pendiente,21:1:746.83;27:3:8946.75
240,29,51,2024-04-19,7615.85,560.97,Pendiente,8:1:8176.82
241,45,79,2023-08-09,14900.65,0,Pagada,21:3:2240.49;10:1:3175.22;6:2:9484.94
242,20,37,2023-06-28,6285.3,0,Pagada,26:2:6285.3
243,7,13,2023-04-15,8847.85,369.22,Pagada,9:1:671.28;8:1:8176.82;1:1:368.97
244,42,74,2024-08-19,3885.5,0,Pagada,5:1:2174.35;2:1:1711.15
245,9,15,2023-12-06,387.06,23.57,Pendiente,30:1:410.63
246,26,45,2023-01-31,9456.15,0,Cancelada,28:1:9456.15
247,18,35,2024-04-01,6828.68,0,Pagada,3:3:1849.5;40:2:1528.5;16:2:3450.68
248,4,5,2023-10-14,2982.25,0,Pendiente,27:1:2982.25
249,16,30,2024-01-27,6756.13,0,Pagada,23:2:3484.64;31:2:1403.42;35:3:1868.07
250,12,21,2023-11-23,11713.57,0,Pendiente,2:1:1711.15;18:2:10002.42
251,15,27,2023-04-13,3450.68,0,Pendiente,16:2:3450.68
252,48,84,2025-02-21,8217.9,0,Pagada,15:1:558.01;37:1:1598.95;25:1:833.98;23:3:5226.96
253,23,40,2024-12-21,7972.07,0,Pendiente,37:3:4796.85;10:1:3175.22
254,32,55,2023-06-29,9722.44,0,Pagada,6:1:4742.47;4:3:4979.97
255,1,1,2024-09-20,1342.56,0,Cancelada,9:2:1342.56
256,21,38,2023-01-23,3175.22,0,Pendiente,10:1:3175.22
257,5,9,2024-12-22,17432.01,0,Pagada,26:2:6285.3;38:2:1663.64;7:1:7323.66;22:1:2159.41
258,41,73,2024-10-26,5315.04,0,Pagada,36:3:5315.04
259,23,40,2024-11-12,3522.22,0,Pagada,12:2:1020.28;25:3:2501.94
260,47,81,2024-12-19,14985.49,0,Pagada,26:3:9427.95;37:2:3197.9;3:3:1849.5;12:1:510.14
261,32,54,2023-12-06,5193.0,0,Cancelada,16:2:3450.68;23:1:1742.32
262,46,80,2024-04-02,1865.23,0,Pagada,14:1:1865.23
263,7,13,2023-02-19,2982.25,0,Pagada,27:1:2982.25
264,25,43,2024-07-13,2105.13,0,Pagada,31:3:2105.13
265,11,20,2023-03-17,3843.71,66.52,Pagada,3:2:1233.0;19:2:966.08;2:1:1711.15
266,47,81,2024-07-14,18310.37,0,Pagada,6:2:9484.94;22:3:6478.23;39:1:818.7;40:2:1528.5
267,28,48,2023-02-24,1865.23,0,Pagada,14:1:1865.23
268,47,83,2023-09-29,10993.83,0,Pagada,20:1:9268.49;16:1:1725.34
269,32,54,2023-02-25,9456.15,0,Pagada,28:1:9456.15
270,39,68,2023-07-24,1865.23,0,Cancelada,14:1:1865.23
271,31,53,2023-11-12,4050.55,0,Pagada,31:1:701.71;32:3:1720.32;17:3:1628.52
272,25,43,2023-07-11,2158.94,0,Pagada,17:2:1085.68;29:2:1073.26
273,4,5,2025-02-09,31455.92,0,Pagada,7:3:21970.98;6:2:9484.94
274,49,87,2024-07-20,2501.94,0,Pagada,25:3:2501.94
275,31,53,2024-05-02,8889.41,538.54,Pagada,26:3:9427.95
276,37,63,2023-05-04,10531.6,772.19,Pagada,29:1:536.63;12:1:510.14;11:1:6526.56;14:2:3730.46
277,41,72,2024-09-01,2174.35,0,Pagada,5:1:2174.35
278,21,38,2024-06-16,3399.66,0,Pagada,1:3:1106.91;40:3:2292.75
279,10,18,2024-08-03,10521.56,0,Pendiente,7:1:7323.66;37:2:3197.9
280,27,47,2024-01-28,3854.74,161.86,Pagada,37:2:3197.9;39:1:818.7
281,44,78,2023-02-09,6478.23,0,Pagada,22:3:6478.23
282,18,35,2023-01-21,18536.98,0,Pagada,20:2:18536.98
283,45,79,2023-08-22,1073.26,0,Pagada,29:2:1073.26
284,42,74,2023-07-12,10093.63,0,Pagada,27:3:8946.75;32:2:1146.88
285,11,19,2023-11-15,11221.23,220.56,Pendiente,26:3:9427.95;9:3:2013.84
286,4,5,2023-02-03,3160.0,0,Pagada,24:2:1739.88;13:2:1420.12
287,41,72,2024-11-28,1739.88,0,Pagada,24:2:1739.88
288,31,53,2023-12-19,1628.52,0,Pagada,17:3:1628.52
289,2,2,2023-02-20,1598.95,0,Pagada,37:1:1598.95
290,44,78,2023-10-03,6308.41,0,Pagada,33:3:4597.26;2:1:1711.15
291,12,21,2023-08-18,27805.47,0,Pagada,20:3:27805.47
292,28,49,2023-12-24,4962.35,0,Pagada,14:2:3730.46;30:3:1231.89
293,38,64,2023-01-08,7924.86,0,Pagada,24:3:2609.82;36:3:5315.04
294,7,13,2023-03-07,15003.63,0,Pagada,18:3:15003.63
295,42,76,2024-10-29,9525.66,0,Pendiente,10:3:9525.66
296,39,68,2024-11-07,1913.68,100.16,Pagada,9:3:2013.84
297,27,47,2024-02-02,4029.72,0,Pagada,38:1:831.82;37:2:3197.9
298,35,60,2024-11-18,9268.49,0,Pendiente,20:1:9268.49
299,12,21,2023-04-10,5857.88,0,Pagada,17:1:542.84;36:3:5315.04
300,15,28,2023-08-17,24501.48,0,Pagada,20:2:18536.98;27:2:5964.5
301,8,14,2023-02-24,8341.65,609.29,Pagada,38:2:1663.64;40:1:764.25;5:3:6523.05
302,27,46,2023-06-04,1420.12,0,Pagada,13:2:1420.12
303,30,52,2023-11-20,15821.13,0,Pagada,12:2:1020.28;6:3:14227.41;32:1:573.44
304,29,51,2023-08-03,9845.83,0,Pagada,11:1:6526.56;37:1:1598.95;32:3:1720.32
305,28,49,2024-01-28,622.69,0,Cancelada,35:1:622.69
306,21,38,2023-01-19,6292.04,0,Pagada,16:3:5176.02;15:2:1116.02
307,33,56,2023-06-21,1233.0,0,Pagada,3:2:1233.0
308,34,58,2024-03-20,4075.41,0,Cancelada,9:2:1342.56;22:1:2159.41;32:1:573.44
309,26,44,2023-08-22,671.28,0,Pagada,9:1:671.28
310,11,19,2024-01-11,3517.46,0,Pagada,3:3:1849.5;25:2:1667.96
311,39,67,2024-11-08,1711.15,0,Pagada,2:1:1711.15
312,25,43,2024-07-14,3175.22,0,Pagada,10:1:3175.22
313,20,37,2024-11-08,3306.82,0,Pagada,34:2:3306.82
314,27,46,2024-06-07,8659.86,0,Pagada,8:1:8176.82;19:1:483.04
315,50,88,2024-06-19,18181.71,0,Pagada,23:1:1742.32;27:3:8946.75;19:2:966.08;11:1:6526.56
316,16,30,2023-01-14,27478.58,249.78,Pagada,8:3:24530.46;37:2:3197.9
317,47,83,2023-04-14,2552.53,0,Pendiente,15:2:1116.02;30:1:410.63;19:1:483.04;17:1:542.84
318,24,42,2024-03-12,7940.16,0,Pagada,7:1:7323.66;3:1:616.5
319,23,41,2024-09-28,9484.94,0,Pagada,6:2:9484.94
320,26,45,2024-04-12,2501.94,0,Pendiente,25:3:2501.94
321,42,74,2023-04-26,1508.73,151.26,Pagada,4:1:1659.99
322,37,63,2023-07-05,4035.07,0,Pagada,23:1:1742.32;40:3:2292.75
323,9,16,2024-05-14,5808.46,156.04,Pagada,27:2:5964.5
324,46,80,2024-11-16,27570.55,0,Pagada,34:2:3306.82;40:3:2292.75;7:3:21970.98
